"soil_moist";"Clay";"WHC";"Magnesium";"Calcium";"bulk_density";"MWD";"C_tot_mg";"N_tot_mg";"P_tot_mg";"pH";"bact16S";"fungITS";"Lat";"Long";"temp";"precip";"bact_sobs";"bact_shan";"bact_pielou";"cerco_sobs";"cerco_shan";"cerco_pielou";"fung_sobs";"fung_shan";"fung_pielou";"beta_b.bray";"beta_f.bray";"beta_c.bray";"mgt_disp"
"002SPAcr";0.089805825;11.85272183;0.362957239;0.68;2.9;1.505598971;0.464905773;6600;540;157.58;5.58;1470765.25;229031.2688;37.64241;-5.28839;17.7;619;1195;6.24119470402285;0.880790501449856;391;4.64597883661054;0.778389423492199;67;2.24849269342885;0.534757923340075;0.577527718772091;0.615407326056542;0.445542694939799;1.34918729
"003SPAcr";0.078891471;30.48837254;0.45564267;1.07;23.9;1.436150544;0.632728347;11500;950;101.41;8.2;1519802.188;239741.9477;37.65983;-5.282124;17.7;619;1223;6.28218251987722;0.883686539795586;396;4.75272426235877;0.794582032693233;73;2.65607252758197;0.619064826043675;0.561570031607856;0.615648853423614;0.453790325281945;1.34918729
"005SPAcr";0.192267528;25.54988733;0.568800569;1.01;11.2;0.969984443;0.555602023;41500;1010;465.18;8.27;1510567.5;121069.0974;37.4133;-5.584381;18;599;1472;6.23393149396051;0.854621475991967;395;5.06215542809927;0.846672043446039;108;3.23670687452367;0.691289226532779;0.423722068233507;0.601177502379443;0.39706196189886;2.125495323
"006SPAcr";0.175333428;32.41585759;0.583448887;NA;NA;0.918647424;0.647769773;43200;1080;470.78;8.21;1250934;94605.38948;37.40317;-5.588811;18;599;1379;6.23855201462484;0.862976032759518;324;4.75201405207658;0.82204201571902;81;3.00578577007234;0.683996028689149;0.46483516479576;0.591231776928098;0.472025837046394;2.578530797
"008SPAcr ";0.071851988;9.862681203;0.325469226;0.7;4.1;1.592055331;0.419457328;7600;660;941.29;6.45;1386221.625;208623.8048;40.05874;-4.416166;14.9;366;1488;6.43277280719383;0.880575916393105;479;5.19392890638974;0.841571755533416;66;2.87705277508692;0.686704025089991;0.439798821316965;0.581209449512496;0.359296409366818;2.302762587
"009SPAcr ";0.053503856;10.80977486;0.429633021;1.19;7.2;1.646390405;0.345498867;6600;640;900.9;6.52;1774360.563;207090.6933;40.05793;-4.416149;14.9;366;1505;6.45336330053882;0.8820229354416;463;4.95866275959063;0.807898871340224;99;3.38880909436024;0.737480023347156;0.443381828616127;0.545939848011895;0.366638068554389;1.422820848
"011SPAcr ";0.091294883;41.64591856;0.507009625;3.82;36.1;1.544233303;0.489210783;7200;800;380.82;8.12;1568966.813;98714.24304;40.06371;-4.420127;15;361;1244;5.97655821237485;0.838687204234577;334;4.73735147861468;0.81521881577821;108;3.54417156585192;0.756956905718503;0.465606327361039;0.556764583166024;0.43615806021895;1.698160464
"012SPAcr ";0.076988707;43.90778487;0.499803245;5.31;34.3;1.28553055;0.681318314;7500;800;278.9;7.45;1477161.313;106398.6132;40.0639;-4.420142;15;361;1343;6.2098909563992;0.862166189268593;341;4.88103119123369;0.836956370476667;112;3.77494336432865;0.800030574828247;0.449024315175143;0.596819856139507;0.408916257476335;1.698160464
"014SPAcr ";0.059870849;18.81799474;0.456451267;1.07;15.8;1.227615128;0.706945124;23700;1420;336.99;8.05;1574612;97356.91606;41.54509;-4.464584;11.9;432;1368;6.29574095590131;0.871852835584114;378;4.98526740372306;0.839992633297923;97;3.11888881588732;0.68176740138186;0.419890930707785;0.553505477994254;0.390496169250914;1.195314724
"015SPAcr ";0.056875533;12.39060094;0.414681554;1.36;11.3;1.379648418;1.048077966;42800;1260;506.91;8.15;1626439.063;124186.0216;41.51923;-4.463892;11.6;436;1337;6.19693850456416;0.860903092868757;399;4.88081190082831;0.814967998802532;109;3.46730526144898;0.739085087802412;0.42354463920127;0.540010078207381;0.370481310503016;1.365324691
"017SPAcr ";0.062533204;23.55894942;0.487980783;3.24;12.4;1.343731179;0.224457446;9700;1150;282.79;7.21;1825393.563;148514.6356;40.52452;-3.300993;13.7;421;1367;6.22937257038218;0.862749313435631;380;4.8299019124026;0.813091358298911;92;3.08137263296569;0.681449957347767;0.447447184545432;0.58180840237711;0.397060293965055;2.494953008
"018SPAcr ";0.042318115;13.41630347;0.405218124;1.39;10.1;1.518601293;0.284828508;9900;1000;360.63;8.06;1993055.5;169382.1539;40.52339;-3.30303;13.7;421;1314;6.20593983446533;0.864236975141688;369;4.68516048724243;0.792644506213248;111;3.53760078411753;0.751157893229299;0.471429584763761;0.592674234374702;0.411901111314999;2.494953008
"020SPAcr ";0.043031381;14.0094765;0.377667189;1.54;12.3;1.481558511;0.393562729;10400;710;354.97;8.27;1734256.625;472913.8839;40.51571;-3.309145;13.7;421;1323;6.07309476231862;0.844933839170726;315;4.84809575191396;0.842770018963843;46;2.45822521570544;0.642062016557533;0.476424045865728;0.671741360058236;0.444071811120713;1.516412821
"021SPAcr ";0.039812979;15.21060648;0.37664628;1.49;12.2;1.412394441;0.430488082;11300;830;372.82;8.19;1556191.313;113419.7718;40.51566;-3.309169;13.7;421;1446;6.34432377179861;0.871885466238976;364;4.85088217332686;0.822580228056831;115;3.71401181527348;0.782732337323152;0.459445590697186;0.601940052792172;0.439898479811348;1.481459077
"023SPAcr ";0.052012748;20.05157273;0.402055264;1.75;15.3;1.361291699;0.878995223;35300;1340;572.93;8.13;1393767.25;119571.4;40.06727;-3.547293;14.7;406;1305;6.17963767591506;0.861398603180699;331;4.78525511291097;0.82474275830334;55;2.05509590692994;0.512833800419499;0.482568773600411;0.663793126191011;0.423324691268857;2.264944815
"024SPAcr ";0.043733466;18.295608;0.365744084;1.77;13;1.430420967;0.262143483;34900;1110;536.22;8.09;1744610.625;173952.4686;40.06759;-3.542605;14.7;406;1432;6.38352746462744;0.87844765801481;308;4.72612283961043;0.824788924907318;102;3.11011609942621;0.672461487880113;0.45094004664556;0.576613197902685;0.466592096412718;1.523057073
"026SPAcr ";0.026182083;16.16784339;0.340182006;1.36;7.2;1.523959934;0.38387872;9700;1000;473.28;7.05;1872921.188;168557.4093;40.99853;-5.121391;11.8;384;1399;6.38219945014479;0.881091739942597;446;4.97188265855628;0.815020115777699;81;2.93240159197931;0.667296739310639;0.412187367141466;0.550730899680556;0.327702333078084;2.429790646
"027SPAcr ";0.037436474;22.33523236;0.387407511;0.76;13.3;1.46904681;0.466987642;8600;750;605.4;8.08;1689110.375;130798.7349;40.98531;-5.125259;11.8;385;1420;6.23945189333728;0.859616643955047;416;5.07559422070533;0.841628107198791;102;3.15664076115275;0.682520933330885;0.436257241261902;0.555737705479922;0.366184994017112;2.429790646
"029SPAcr ";0.072072072;22.42509858;0.459183007;0.87;16.8;1.215447202;1.526549111;51000;1910;1077.94;7.87;1136806.125;95509.1125;41.74506;1.511950509;12.5;703;1438;6.49900165039514;0.893823960758493;363;4.80364309381902;0.814949915858292;136;3.82972026285591;0.779562243213043;0.511886262952696;0.538643219622821;0.373580724518713;4.27559688
"030SPAcr ";0.058823529;22.42588386;0.454460442;0.94;16.8;1.273952559;1.407428195;54100;1830;816.61;7.86;1350030.563;85521.40236;41.74491;1.511196403;12.5;703;1479;6.55130787391946;0.897547452441816;343;4.70320489060558;0.805656399035838;117;3.60583039453198;0.757181582172747;0.409549377723238;0.570992719451396;0.380217668721033;4.27559688
"032SPAcr ";0.045112782;16.52251512;0.392719597;1.36;12.2;1.503666193;1.038433885;17600;1170;471;8.04;1605031.25;119629.9168;41.65816571;2.329518782;15.2;693;1551;6.53727555250642;0.889830189018949;394;4.84973209574373;0.81148717157799;135;3.83290264564285;0.781383881386363;0.406602562112213;0.597215911719168;0.38624745732992;2.403457697
"033SPAcr ";0.03125;19.99231195;0.445704639;1.8;12.7;1.501147726;0.563918594;28200;1870;1206.21;7.98;1784625;104824.1731;41.65832;2.319836689;15.2;693;1379;6.30864267135738;0.872671641089586;332;4.42547025960625;0.762337186525785;82;2.90783634436932;0.659864216712816;0.435718805977512;0.573330992127921;0.414785068015545;3.844992744
"034FRAcr";0.115555556;24.9;0.482178777;0.9;0.31;1.212657331;0.906743954;9200;1080;430.22;7.34;1654798.875;197371.4094;43.529;1.5015;12.9;705;1578;6.51645603438567;0.884917514734745;435;5.06296341559958;0.833362147553644;73;3.13666636242264;0.731079364680599;0.306668780184877;0.486990818421863;0.319368610293543;2.364579257
"035FRAcr";0.143820225;35.9;0.487536758;1.31;0.22;1.292496405;1.096421919;8300;1070;291.96;6.68;1354035.563;134234.0739;43.5346;1.4987;12.5;721;1570;6.61456921713943;0.898861423576049;419;5.00094230537737;0.82826254017399;83;2.90037650523131;0.656365948143477;0.354953193023399;0.472149101319599;0.330975229469321;2.958357384
"037FRAcr";0.095238095;21;0.470305681;0.46;0.64;1.192795321;0.304447646;79800;1250;143.97;7.98;1384018.438;146708.5468;43.647444;3.884251;13.7;752;1551;6.58271915882416;0.896015807549885;355;4.66031878477433;0.793635099269808;108;3.49778663136934;0.747050106393045;0.395257314700235;0.515670531889174;0.388971522845835;NA
"038FRAcr ";0.076759062;20.4;0.449798882;0.46;0.35;1.246109135;0.402899808;77700;1420;74.5;7.91;1441387.625;114130.8307;43.647151;3.88559;13.7;752;1644;6.69007874640611;0.903467970052126;367;4.97414822246035;0.842310488407921;116;3.99589274097611;0.840605222648798;0.382418609563544;0.52893642872226;0.373862337499481;NA
"040FRAcr";0.072805139;27.9;0.451708853;0.61;0.57;1.238631141;0.555714489;50700;1010;443.12;8.03;1208791.844;99276.88058;43.6167;3.974;13.9;754;1511;6.5062556322974;0.88876875473968;325;4.71033962096536;0.814398684689849;108;3.5484350463318;0.757867491149166;0.397438853151583;0.558217342158439;0.431958132236729;1.258791726
"041FRAcr";0.068085106;31.3;0.448552758;0.66;0.56;1.460504425;0.612628277;54100;1120;405.35;8.01;1510776.938;130601.0825;43.615902;3.976568;13.9;754;1419;6.45285345905036;0.889103522226095;349;4.77327333946889;0.815237353681112;127;3.94810017177866;0.815018103412056;0.414580764906176;0.570526645665414;0.408288676713314;NA
"042FRAcr";0.063424947;30;0.424654424;0.71;0.56;1.482286172;0.641955862;54200;1000;505.77;7.97;1636537.625;121064.3487;43.61605;3.975727;13.9;754;1566;6.61845884759337;0.899701881747417;348;4.92059500323088;0.840810792216559;90;2.66342712544816;0.591897729143881;0.374533083167689;0.532601985443515;0.378287049640392;2.338920903
