Sample_No;country_ID;Sample_ID;country;landuse;landuse_ID;SM;Clay;BD;MWD;Ctot_mg;Ntot_mg;Ptot_mg;pH;Lat;Long;MAT;MAP;bact16S;fungITS
s001;SPA;SP1;Spain;grassland;gr;0.093;12.17;1.8;0.48;5600;410;100.53;7.23;37.64356;-5.282249;17.7;619;1768545.188;66095.83928
s002;SPA;SP2;Spain;cropland;cr;0.09;11.85;1.51;0.46;6600;540;157.58;5.58;37.64241;-5.28839;17.7;619;1470765.25;229031.2688
s003;SPA;SP3;Spain;cropland;cr;0.079;30.49;1.44;0.63;11500;950;101.41;8.2;37.65983;-5.282124;17.7;619;1519802.188;239741.9477
s004;SPA;SP4;Spain;grassland;gr;0.175;29.89;0.89;0.78;57500;1040;581.86;8.3;37.41256;-5.582707;17.9;607;1525786.25;119482.2303
s005;SPA;SP5;Spain;cropland;cr;0.192;25.55;0.97;0.56;41500;1010;465.18;8.27;37.4133;-5.584381;18;599;1510567.5;121069.0974
s006;SPA;SP6;Spain;cropland;cr;0.175;32.42;0.92;0.65;43200;1080;470.78;8.21;37.40317;-5.588811;18;599;1250934;94605.38948
s007;SPA;SP7;Spain;grassland;gr;0.031;17.09;1.42;1.38;8300;700;117.69;6.25;40.05545;-4.432289;15;361;1439589;104903.9223
s008;SPA;SP8;Spain;cropland ;cr;0.072;9.86;1.59;0.42;7600;660;941.29;6.45;40.05874;-4.416166;14.9;366;1386221.625;208623.8048
s009;SPA;SP9;Spain;cropland ;cr;0.054;10.81;1.65;0.35;6600;640;900.9;6.52;40.05793;-4.416149;14.9;366;1774360.563;207090.6933
s010;SPA;SP10;Spain;grassland;gr;0.165;54.49;0.91;0.9;22400;1260;341.66;8.11;40.07019;-4.423826;15;361;1402012.188;93927.60646
s011;SPA;SP11;Spain;cropland ;cr;0.091;41.65;1.54;0.49;7200;800;380.82;8.12;40.06371;-4.420127;15;361;1568966.813;98714.24304
s012;SPA;SP12;Spain;cropland ;cr;0.077;43.91;1.29;0.68;7500;800;278.9;7.45;40.0639;-4.420142;15;361;1477161.313;106398.6132
s013;SPA;SP13;Spain;grassland;gr;0.064;25.52;;;28200;1840;154.45;7.63;41.54515;-4.464057;11.9;432;1557527.375;184849.5355
s014;SPA;SP14;Spain;cropland ;cr;0.06;18.82;1.23;0.71;23700;1420;336.99;8.05;41.54509;-4.464584;11.9;432;1574612;97356.91606
s015;SPA;SP15;Spain;cropland ;cr;0.057;12.39;1.38;1.05;42800;1260;506.91;8.15;41.51923;-4.463892;11.6;436;1626439.063;124186.0216
s016;SPA;SP16;Spain;grassland;gr;0.085;42.78;1.29;1.7;24200;1670;290.72;7.32;40.52675;-3.298759;13.7;421;1582231.438;120353.1855
s017;SPA;SP17;Spain;cropland ;cr;0.063;23.56;1.34;0.22;9700;1150;282.79;7.21;40.52452;-3.300993;13.7;421;1825393.563;148514.6356
s018;SPA;SP18;Spain;cropland ;cr;0.042;13.42;1.52;0.28;9900;1000;360.63;8.06;40.52339;-3.30303;13.7;421;1993055.5;169382.1539
s019;SPA;SP19;Spain;grassland;gr;0.034;14.82;1.27;0.85;24700;840;434.15;8.14;40.51563;-3.309015;13.7;421;1717864.625;175243.6422
s020;SPA;SP20;Spain;cropland ;cr;0.043;14.01;1.48;0.39;10400;710;354.97;8.27;40.51571;-3.309145;13.7;421;1734256.625;472913.8839
s021;SPA;SP21;Spain;cropland ;cr;0.04;15.21;1.41;0.43;11300;830;372.82;8.19;40.51566;-3.309169;13.7;421;1556191.313;113419.7718
s022;SPA;SP22;Spain;grassland;gr;0.037;16.23;1.28;1;39500;1700;608.92;8.2;40.06453;-3.550226;14.7;406;1801860.5;189173.4151
s023;SPA;SP23;Spain;cropland ;cr;0.052;20.05;1.36;0.88;35300;1340;572.93;8.13;40.06727;-3.547293;14.7;406;1393767.25;119571.4
s024;SPA;SP24;Spain;cropland ;cr;0.044;18.3;1.43;0.26;34900;1110;536.22;8.09;40.06759;-3.542605;14.7;406;1744610.625;173952.4686
s025;SPA;SP25;Spain;grassland;gr;0.016;11.57;1.73;1.01;9500;880;234.85;6.62;40.98719;-5.125842;11.8;385;2142243;268156.2677
s026;SPA;SP26;Spain;cropland ;cr;0.026;16.17;1.52;0.38;9700;1000;473.28;7.05;40.99853;-5.121391;11.8;384;1872921.188;168557.4093
s027;SPA;SP27;Spain;cropland ;cr;0.037;22.34;1.47;0.47;8600;750;605.4;8.08;40.98531;-5.125259;11.8;385;1689110.375;130798.7349
s028;SPA;SP28;Spain;grassland;gr;0.066;20.57;1.24;1.83;71200;3390;862.48;7.55;41.74503;1.511542359;12.5;703;1423053.625;118863.0499
s029;SPA;SP29;Spain;cropland ;cr;0.072;22.43;1.22;1.53;51000;1910;1077.94;7.87;41.74506;1.511950509;12.5;703;1136806.125;95509.1125
s030;SPA;SP30;Spain;cropland ;cr;0.059;22.43;1.27;1.41;54100;1830;816.61;7.86;41.74491;1.511196403;12.5;703;1350030.563;85521.40236
s031;SPA;SP31;Spain;grassland;gr;0.039;9.61;1.32;2.49;25500;1800;704.79;7.85;41.65835252;2.319920379;15.2;693;1399755.813;59801.15832
