OTU;kingdom;phylum;class;order;family;genus;species
OTU_1;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;unclassified;unclassified
OTU_10;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified;unclassified;unclassified
OTU_1000;Bacteria;Proteobacteria;Deltaproteobacteria;unclassified;unclassified;unclassified;unclassified
OTU_100014;Bacteria;TM7;TM7-3;unclassified;unclassified;unclassified;unclassified
OTU_10002;Bacteria;Planctomycetes;Planctomycetia;Gemmatales;Gemmataceae;unclassified;unclassified
OTU_100068;Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae];unclassified;unclassified
OTU_100075;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;unclassified;unclassified;unclassified
OTU_100078;Bacteria;Gemmatimonadetes;Gemmatimonadetes;unclassified;unclassified;unclassified;unclassified
OTU_100080;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;unclassified;unclassified
OTU_100083;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;unclassified;unclassified;unclassified
OTU_1001;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;unclassified;unclassified
OTU_100121;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified;unclassified
OTU_10014;Bacteria;Proteobacteria;Betaproteobacteria;A21b;UD5;unclassified;unclassified
OTU_100167;Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;unclassified;unclassified
OTU_100169;Bacteria;TM7;TM7-1;unclassified;unclassified;unclassified;unclassified
OTU_10023;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_10026;Bacteria;Chloroflexi;C0119;unclassified;unclassified;unclassified;unclassified
OTU_10029;Bacteria;Planctomycetes;Phycisphaerae;WD2101;unclassified;unclassified;unclassified
OTU_100338;Bacteria;Planctomycetes;Planctomycetia;Gemmatales;Isosphaeraceae;unclassified;unclassified
OTU_100343;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_10037;Bacteria;OD1;SM2F11;unclassified;unclassified;unclassified;unclassified
OTU_10039;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;unclassified;unclassified
OTU_100399;Bacteria;TM7;SC3;unclassified;unclassified;unclassified;unclassified
OTU_1004;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;unclassified;unclassified
OTU_100403;Bacteria;BRC1;PRR-11;unclassified;unclassified;unclassified;unclassified
OTU_10041;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;unclassified;unclassified
OTU_100414;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;unclassified;unclassified
OTU_100422;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;unclassified;unclassified;unclassified
OTU_10043;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;OM27;unclassified;unclassified
OTU_100432;Bacteria;Proteobacteria;Betaproteobacteria;Ellin6067;unclassified;unclassified;unclassified
OTU_100433;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;unclassified
OTU_10045;Bacteria;Verrucomicrobia;[Pedosphaerae];[Pedosphaerales];Ellin515;unclassified;unclassified
OTU_10046;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_100492;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;mb2424;unclassified;unclassified
OTU_1005;Bacteria;TM7;TM7-1;unclassified;unclassified;unclassified;unclassified
OTU_100500;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;unclassified;unclassified
OTU_100521;Bacteria;Cyanobacteria;Chloroplast;Chlorophyta;unclassified;unclassified;unclassified
OTU_10056;Bacteria;Verrucomicrobia;[Pedosphaerae];[Pedosphaerales];auto67_4W;unclassified;unclassified
OTU_100566;Bacteria;Acidobacteria;Acidobacteria-6;CCU21;unclassified;unclassified;unclassified
OTU_100580;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;unclassified;unclassified;unclassified
OTU_100582;Bacteria;Planctomycetes;OM190;agg27;unclassified;unclassified;unclassified
OTU_100596;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Microthrixaceae;unclassified;unclassified
OTU_100598;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified;unclassified;unclassified;unclassified
OTU_10060;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;unclassified;unclassified
OTU_10062;Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;unclassified;unclassified
OTU_100622;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified;unclassified;unclassified
OTU_100631;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_100657;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Aquicella;unclassified
OTU_100666;Bacteria;Proteobacteria;Deltaproteobacteria;unclassified;unclassified;unclassified;unclassified
OTU_100673;Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;unclassified;unclassified
OTU_10072;Bacteria;Acidobacteria;DA052;Ellin6513;unclassified;unclassified;unclassified
OTU_100742;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;unclassified;unclassified;unclassified
OTU_100756;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_100760;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;unclassified;unclassified
OTU_10080;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;unclassified
OTU_10085;Bacteria;Gemmatimonadetes;Gemmatimonadetes;unclassified;unclassified;unclassified;unclassified
OTU_100862;Bacteria;Gemmatimonadetes;Gemm-3;unclassified;unclassified;unclassified;unclassified
OTU_10087;Bacteria;Proteobacteria;Deltaproteobacteria;unclassified;unclassified;unclassified;unclassified
OTU_10089;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified;unclassified
OTU_100936;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter;unclassified
OTU_10095;Bacteria;Chloroflexi;Chloroflexi;[Roseiflexales];unclassified;unclassified;unclassified
OTU_100981;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_10099;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;unclassified;unclassified
OTU_100991;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;unclassified;unclassified
OTU_101;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;unclassified
OTU_1010;Bacteria;Acidobacteria;Acidobacteria-6;iii1-15;unclassified;unclassified;unclassified
OTU_10102;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_101040;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;unclassified;unclassified
OTU_101049;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Oxobacter;unclassified
OTU_10106;Bacteria;Verrucomicrobia;[Pedosphaerae];[Pedosphaerales];unclassified;unclassified;unclassified
OTU_101121;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;unclassified;unclassified
OTU_10114;Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;unclassified;unclassified
OTU_101168;Bacteria;Gemmatimonadetes;Gemm-5;unclassified;unclassified;unclassified;unclassified
OTU_10119;Bacteria;Gemmatimonadetes;Gemmatimonadetes;Ellin5290;unclassified;unclassified;unclassified
OTU_10120;Bacteria;Proteobacteria;Betaproteobacteria;unclassified;unclassified;unclassified;unclassified
OTU_10121;Bacteria;WS3;PRR-12;Sediment-1;unclassified;unclassified;unclassified
OTU_101228;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Pseudonocardia;unclassified
OTU_101239;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;unclassified
OTU_10124;Bacteria;Verrucomicrobia;[Pedosphaerae];[Pedosphaerales];unclassified;unclassified;unclassified
OTU_10126;Bacteria;Acidobacteria;S035;unclassified;unclassified;unclassified;unclassified
OTU_101261;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unclassified
OTU_101262;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU_101308;Bacteria;TM7;TM7-1;unclassified;unclassified;unclassified;unclassified
OTU_101342;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;unclassified;unclassified
OTU_101377;Bacteria;Chloroflexi;TK17;unclassified;unclassified;unclassified;unclassified
OTU_101391;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;unclassified;unclassified
OTU_101395;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified;unclassified;unclassified
OTU_1014;Bacteria;Proteobacteria;TA18;CV90;unclassified;unclassified;unclassified
OTU_10141;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
