OTU;Kingdom;Phylum;Class;Order;Family;Genus;Species
OTU1;Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;unclassified;unclassified
OTU10;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU100;Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Apodus;Apodus_deciduus_SH193385.07FU
OTU1000;Fungi;Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1001;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1002;Fungi;Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1003;Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Cantharellales_fam_Incertae_sedis;Minimedusa;unclassified
OTU1004;Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Scutellinia;unclassified
OTU1005;Fungi;Ascomycota;Leotiomycetes;unclassified;unclassified;unclassified;unclassified
OTU1006;Fungi;Ascomycota;Dothideomycetes;unclassified;unclassified;unclassified;unclassified
OTU1007;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1008;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1009;Fungi;Ascomycota;Sordariomycetes;unclassified;unclassified;unclassified;unclassified
OTU101;Fungi;Ascomycota;Dothideomycetes;unclassified;unclassified;unclassified;unclassified
OTU1010;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1011;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metarhizium;Metarhizium_marquandii_SH217935.07FU
OTU1012;Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;Rhizophydiales_fam_Incertae_sedis;Operculomyces;Operculomyces_laminatus_SH210135.07FU
OTU1013;Fungi;Ascomycota;Sordariomycetes;unclassified;unclassified;unclassified;unclassified
OTU1014;Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;unclassified;unclassified;unclassified
OTU1015;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;unclassified
OTU1016;Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Peziza;unclassified
OTU1017;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Dactylaria;Dactylaria_dimorphospora_SH025283.07FU
OTU1018;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1019;Fungi;Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified
OTU102;Fungi;Basidiomycota;Tremellomycetes;unclassified;unclassified;unclassified;unclassified
OTU1020;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Torulaceae;Torula;Torula_herbarum_SH212866.07FU
OTU1021;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1022;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Bolbitiaceae;Conocybe;unclassified
OTU1023;Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;unclassified;unclassified
OTU1024;Fungi;Ascomycota;Sordariomycetes;Hypocreales;unclassified;unclassified;unclassified
OTU1025;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1026;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1027;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1028;Fungi;Ascomycota;Pezizomycetes;Pezizales;Ascobolaceae;Ascobolus;unclassified
OTU1029;Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Geopora;unclassified
OTU103;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria_tellustris_SH216786.07FU
OTU1030;Fungi;Basidiomycota;Agaricomycetes;unclassified;unclassified;unclassified;unclassified
OTU1031;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1032;Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;unclassified;unclassified
OTU1033;Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella_angusta_SH189943.07FU
OTU1034;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1035;Fungi;Basidiomycota;Microbotryomycetes;Leucosporidiales;unclassified;unclassified;unclassified
OTU1036;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1037;Fungi;Ascomycota;Dothideomycetes;Pleosporales;unclassified;unclassified;unclassified
OTU1038;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;unclassified;unclassified
OTU1039;Fungi;Ascomycota;Dothideomycetes;Pleosporales;unclassified;unclassified;unclassified
OTU104;Fungi;Ascomycota;Leotiomycetes;Helotiales;unclassified;unclassified;unclassified
OTU1040;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;Beauveria_amorpha_SH212432.07FU
OTU1041;Fungi;Basidiomycota;Agaricomycetes;Agaricales;unclassified;unclassified;unclassified
OTU1042;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;Entoloma_phaeocyathus_SH221922.07FU
OTU1043;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Bolbitiaceae;Conocybe;Conocybe_lenticulospora_SH220671.07FU
OTU1044;Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;Powellomycetaceae;Powellomyces;unclassified
OTU1045;Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;unclassified
OTU1046;Fungi;Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Syncephalis;unclassified
OTU1047;Fungi;Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1048;Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Podospora;Podospora_communis_SH202181.07FU
OTU1049;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU105;Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;unclassified
OTU1050;Fungi;Ascomycota;Sordariomycetes;Hypocreales;unclassified;unclassified;unclassified
OTU1051;Fungi;Basidiomycota;Agaricomycetes;Agaricales;unclassified;unclassified;unclassified
OTU1052;Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;unclassified;unclassified
OTU1053;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1054;Fungi;Basidiomycota;Agaricomycetes;unclassified;unclassified;unclassified;unclassified
OTU1055;Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;unclassified
OTU1056;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Spegazzinia;unclassified
OTU1057;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
OTU1058;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinellus;unclassified
OTU1059;Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Podospora;unclassified
OTU106;Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Lectera;unclassified
OTU1060;Fungi;Ascomycota;Ascomycota_cls_Incertae_sedis;Ascomycota_ord_Incertae_sedis;Ascomycota_fam_Incertae_sedis;Tetracladium;unclassified
OTU1061;Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
