"","country_ID","Sample_ID","country","landuse","landuse_ID","SM","Clay","Ctot_mg","Ntot_mg","Ptot_mg","pH","Lat","Long","MAT","MAP"
"s002","SPA","SP2","Spain","cropland","cr",0.09,11.85,6600,540,157.58,5.58,37.64241,-5.28839,17.7,619
"s003","SPA","SP3","Spain","cropland","cr",0.079,30.49,11500,950,101.41,8.2,37.65983,-5.282124,17.7,619
"s005","SPA","SP5","Spain","cropland","cr",0.192,25.55,41500,1010,465.18,8.27,37.4133,-5.584381,18,599
"s006","SPA","SP6","Spain","cropland","cr",0.175,32.42,43200,1080,470.78,8.21,37.40317,-5.588811,18,599
"s008","SPA","SP8","Spain","cropland ","cr",0.072,9.86,7600,660,941.29,6.45,40.05874,-4.416166,14.9,366
"s009","SPA","SP9","Spain","cropland ","cr",0.054,10.81,6600,640,900.9,6.52,40.05793,-4.416149,14.9,366
"s011","SPA","SP11","Spain","cropland ","cr",0.091,41.65,7200,800,380.82,8.12,40.06371,-4.420127,15,361
"s012","SPA","SP12","Spain","cropland ","cr",0.077,43.91,7500,800,278.9,7.45,40.0639,-4.420142,15,361
"s014","SPA","SP14","Spain","cropland ","cr",0.06,18.82,23700,1420,336.99,8.05,41.54509,-4.464584,11.9,432
"s015","SPA","SP15","Spain","cropland ","cr",0.057,12.39,42800,1260,506.91,8.15,41.51923,-4.463892,11.6,436
"s017","SPA","SP17","Spain","cropland ","cr",0.063,23.56,9700,1150,282.79,7.21,40.52452,-3.300993,13.7,421
"s018","SPA","SP18","Spain","cropland ","cr",0.042,13.42,9900,1000,360.63,8.06,40.52339,-3.30303,13.7,421
"s020","SPA","SP20","Spain","cropland ","cr",0.043,14.01,10400,710,354.97,8.27,40.51571,-3.309145,13.7,421
"s021","SPA","SP21","Spain","cropland ","cr",0.04,15.21,11300,830,372.82,8.19,40.51566,-3.309169,13.7,421
"s023","SPA","SP23","Spain","cropland ","cr",0.052,20.05,35300,1340,572.93,8.13,40.06727,-3.547293,14.7,406
"s024","SPA","SP24","Spain","cropland ","cr",0.044,18.3,34900,1110,536.22,8.09,40.06759,-3.542605,14.7,406
"s026","SPA","SP26","Spain","cropland ","cr",0.026,16.17,9700,1000,473.28,7.05,40.99853,-5.121391,11.8,384
"s027","SPA","SP27","Spain","cropland ","cr",0.037,22.34,8600,750,605.4,8.08,40.98531,-5.125259,11.8,385
"s029","SPA","SP29","Spain","cropland ","cr",0.072,22.43,51000,1910,1077.94,7.87,41.74506,1.511950509,12.5,703
"s030","SPA","SP30","Spain","cropland ","cr",0.059,22.43,54100,1830,816.61,7.86,41.74491,1.511196403,12.5,703
"s032","SPA","SP32","Spain","cropland ","cr",0.045,16.52,17600,1170,471,8.04,41.65816571,2.329518782,15.2,693
"s033","SPA","SP33","Spain","cropland ","cr",0.031,19.99,28200,1870,1206.21,7.98,41.65832,2.319836689,15.2,693
"s034","FRA","FR1","France","cropland","cr",0.116,24.9,9200,1080,430.22,7.34,43.529,1.5015,12.9,705
"s035","FRA","FR2","France","cropland","cr",0.144,35.9,8300,1070,291.96,6.68,43.5346,1.4987,12.5,721
"s037","FRA","FR4","France","cropland","cr",0.095,21,79800,1250,143.97,7.98,43.647444,3.884251,13.7,752
"s038","FRA","FR5","France","cropland ","cr",0.077,20.4,77700,1420,74.5,7.91,43.647151,3.88559,13.7,752
"s040","FRA","FR7","France","cropland","cr",0.073,27.9,50700,1010,443.12,8.03,43.6167,3.974,13.9,754
"s041","FRA","FR8","France","cropland","cr",0.068,31.3,54100,1120,405.35,8.01,43.615902,3.976568,13.9,754
"s042","FRA","FR9","France","cropland","cr",0.063,30,54200,1000,505.77,7.97,43.61605,3.975727,13.9,754
"s043","FRA","FR10","France","cropland ","cr",0.088,34.5,59100,940,348.57,8.05,43.615201,3.975673,13.9,754
"s044","FRA","FR11","France","cropland ","cr",0.064,27.2,52300,920,349.3,8.09,43.6139,3.97918,13.9,754
"s046","FRA","FR13","France","cropland","cr",0.14,40.1,19000,1730,416.94,7.87,47.1357,5.53039,10.5,890
"s047","FRA","FR14","France","cropland ","cr",0.12,34.4,16900,1550,676.28,7.83,47.135861,5.52108,10.5,890
"s048","FRA","FR15","France","cropland ","cr",0.099,36.3,12300,1300,570.8,6.5,47.131621,5.53161,10.5,890
"s049","FRA","FR16","France","cropland ","cr",0.093,31.9,10800,1170,442.34,6.9,47.133361,5.45433,10.7,843
