"","s002","s003","s005","s006","s008","s009","s011","s012","s014","s015","s017","s018","s020","s021","s023","s024","s026","s027","s029","s030","s032","s033","s034","s035","s037","s038","s040","s041","s042","s043","s044","s046","s047","s048","s049","s050","s051","s054","s055","s056","s057","s060","s061","s062","s063","s064","s065","s066","s067","s069","s070","s073","s075","s076","s078","s079","s081","s082","s084","s085","s087","s088","s090","s091","s093","s094","s096","s097","s099","s100","s102","s103","s105","s106","s108","s109","s111","s112","s114","s115","s117","s118","s120","s121","s123","s124","s126","s127","s129","s130","s131","s132","s133","s134","s135","s136","s137","s138","s139","s140","s141","s142","s143","s144","s145","s159","s160","s161","s162","s163","s164","s165","s166","s167","s168","s174","s175","s176","s177","s178","s179","s180","s181","s182","s183","s184","s185","s186","s187","s188","s189","s190","s191","s192","s193","s194","s195","s196","s198","s199","s200","s201","s202","s203","s204","s205","s206","s207","s208","s209","s211","s212","s214","s215","s216","s217"
"OTU1",0,0,0,0,2,3,11,1,0,121,2,1,2,2,1,7,0,0,222,48,2,22,366,70,331,125,1,9,98,8,16,249,255,87,105,211,63,11,177,332,168,440,1085,682,633,977,405,364,1079,185,237,575,981,432,1418,1541,627,1457,322,512,884,584,331,535,884,114,758,1143,520,621,668,722,320,172,744,329,811,447,91,28,837,324,1128,822,180,552,449,528,1144,438,455,361,195,838,345,144,1346,177,1151,932,393,284,679,253,176,608,325,943,992,1099,852,1293,1036,1476,842,539,622,456,118,328,469,503,766,731,423,66,78,276,139,348,895,434,682,485,250,238,321,234,367,25,328,160,565,227,195,58,322,44,313,190,378,132,0,3,12,5
"OTU10",31,44,37,76,139,228,428,221,15,35,45,26,1008,17,6,26,30,16,47,8,50,21,13,1,7,54,141,180,65,92,276,18,18,51,20,10,20,24,178,10,3,18,9,3,2,5,0,4,11,4,9,11,2,2,0,9,0,51,15,15,12,5,0,2,20,0,16,13,18,2,14,4,5,0,30,8,17,3,2,1,27,52,32,9,4,41,38,8,5,15,1,4,5,71,8,15,38,5,0,17,2,8,18,16,13,9,14,108,0,7,3,4,2,6,40,1,7,2,0,1,3,1,11,14,160,3,10,9,2,15,15,5,10,54,8,5,41,9,18,10,6,14,18,33,24,13,27,40,43,12,0,5,7,27,4,22
"OTU100",0,0,0,0,0,4,0,0,1,0,142,6,2,0,0,0,49,2,3,7,0,0,0,0,0,0,0,0,4,0,0,9,58,3,6,0,11,0,5,1,1,1,0,1,0,1,1,0,8,1,0,4,16,12,13,2,2,2,7,32,9,13,0,21,24,0,41,5,2,0,2,0,0,0,21,11,0,1,2,7,0,4,0,5,5,0,6,6,1,1,6,0,0,2,3,3,4,0,1,5,2,4,0,2,1,3,0,2,2,11,0,27,11,9,3,0,12,3,1,1,0,61,76,13,1,32,76,62,166,5,16,6,54,360,134,33,56,21,10,2,7,3,35,20,55,26,620,226,68,17,0,3,2,166,39,11
"OTU1000",0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,4,2,7,1,0,0,0,2,0,0,0,2,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1002",0,0,0,0,0,11,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"OTU1003",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,37,5,16,2,10,1,0,7,0,9,116,0,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,18,0,0,0,0,3,0,16,0,0,0,3,0,0,4,1,42,0,6,11,5,0,5,33,0,2,0,1,62,0,0,0,0,3,10,0,6,0,0,0,0,6,0,18,0,0,2,1,10,3,4,0,0,7,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
