"Rhogostomidae","Assulinidae","Euglyphidae","Trinematidae","Viridiraptoridae","Fiscullidae","Sphenoderiidae","Cercomonadidae","Plasmodiophoridae","Tremulidae"
"Ascomycota",-0.263,-0.14,-0.207,0.053,0.019,-0.241,-0.238,0.186,-0.006,0.191
"unclassified",0.266,0.145,0.108,0.029,0.005,0.023,-0.012,-0.173,-0.126,-0.333
"Basidiomycota",0.248,0.133,0.153,-0.015,-0.008,0.135,0.119,-0.169,-0.049,-0.238
"Entomophthoromycota",0.082,0.043,0.067,-0.018,-0.006,0.08,0.08,-0.058,0.005,-0.056
"Blastocladiomycota",-0.161,-0.087,-0.066,-0.017,-0.003,-0.016,0.004,0.105,0.075,0.2
"Chytridiomycota",-0.076,-0.041,-0.05,0.007,0.003,-0.048,-0.044,0.052,0.011,0.069
"Olpidiomycota",-0.004,-0.002,0.006,-0.007,-0.002,0.017,0.02,0.002,0.012,0.016
"Mucoromycota",-0.035,-0.019,-0.019,0,0.001,-0.014,-0.011,0.024,0.01,0.037
"Monoblepharomycota",-0.036,-0.02,-0.014,-0.004,-0.001,-0.002,0.003,0.023,0.018,0.046
"GS19",-0.057,-0.031,-0.02,-0.009,-0.002,0.002,0.011,0.036,0.031,0.076
"Glomeromycota",0.007,0.002,0.073,-0.056,-0.016,0.152,0.174,-0.015,0.087,0.087
"Zoopagomycota",-0.127,-0.07,-0.006,-0.051,-0.013,0.088,0.119,0.076,0.119,0.221
"Mortierellomycota",-0.059,-0.034,0.05,-0.066,-0.019,0.155,0.186,0.027,0.123,0.174
"Rozellomycota",-0.125,-0.07,0.02,-0.071,-0.019,0.143,0.182,0.071,0.151,0.253
